,sent,received
1583899560,218.0223274,0.5989239
1583899620,256.2305653,0.7377078
1583899680,147.1937883,0.5276001
1583899740,217.8111563,0.852442
1583899800,261.2436023,0.4334028
1583899860,269.8252186,0.8849732
1583899920,265.057997,0.19769
1583899980,297.3197674,0.2838249
1583900040,145.9876566,0.951607
1583900100,145.3558289,0.6239082
1583900160,147.1061262,0.1794665
1583900220,130.7383768,0.9613762
1583900280,252.0715483,0.0154262
1583900340,243.3143107,0.6852526
1583900400,235.7740871,0.591706
1583900460,107.9570829,0.4371389
1583900520,185.5644275,0.97124
1583900580,140.7848332,0.5494445
1583900640,213.6602069,0.999718
1583900700,274.5377137,0.0034874
1583900760,168.5248072,0.9163779
1583900820,107.6264776,0.6982916
1583900880,157.1508387,0.4152498
1583900940,277.6516785,0.7337593
1583901000,254.5063431,0.0752127
1583901060,293.8545563,0.3300147
1583901120,128.9363882,0.6232114
1583901180,140.4323093,0.411517
1583901240,261.3338152,0.1842244
1583901300,298.5138827,0.3053003
1583901360,225.0040535,0.0107592
1583901420,192.1398438,0.9203713
1583901480,288.5953344,0.8995006
1583901540,289.4950937,0.7471195
1583901600,143.4360739,0.2033186
1583901660,150.3810418,0.238003
1583901720,255.1411853,0.2323048
1583901780,193.0254421,0.7991114
1583901840,249.657367,0.3454722
1583901900,240.324591,0.5915037
1583901960,165.1680871,0.4517821
1583902020,139.264669,0.4906162
1583902080,117.6671863,0.3499491
1583902140,259.0811123,0.7165015
1583902200,214.2016722,0.6503934
1583902260,131.521244,0.3463971
1583902320,268.3620234,0.745307
1583902380,110.9656987,0.5745081
1583902440,156.983185,0.3013797
1583902500,155.8692248,0.7235938
1583902560,173.6007947,0.2656129
1583902620,289.3335066,0.1428526
1583902680,111.3898741,0.133039
1583902740,243.2482254,0.5215445
1583902800,277.5432514,0.5484712
1583902860,299.7547638,0.8386536
1583902920,268.799504,0.8313973
1583902980,204.047292,0.3331636
1583903040,276.527528,0.1160599
1583903100,148.752545,0.9321111
1583903160,290.3328744,0.3848378
1583903220,140.0249596,0.5349357
1583903280,222.5073515,0.6221247
1583903340,299.7694004,0.0628282
1583903400,142.5546103,0.8140821
1583903460,234.9335875,0.4077035
1583903520,262.9491433,0.5709986
1583903580,278.2484336,0.4500663
1583903640,167.7055354,0.5222819
1583903700,209.5571715,0.2136465
1583903760,215.188256,0.4016049
1583903820,126.974551,0.9505132
1583903880,205.5155619,0.488165
1583903940,131.4233684,0.7401641
1583904000,237.4395741,0.8395719
1583904060,242.1828549,0.8853413
1583904120,220.4115988,0.1973635
1583904180,286.5893329,0.3869622
1583904240,241.5290904,0.360635
1583904300,201.9960589,0.8916568
1583904360,180.2042581,0.9186027
1583904420,280.8641152,0.6974607
1583904480,197.9044695,0.8842034
1583904540,195.4429245,0.5931805
1583904600,261.2052326,0.5035608
1583904660,263.513524,0.3661242
1583904720,223.7934102,0.526612
1583904780,250.8359662,0.2558105
1583904840,192.9428933,0.117268
1583904900,189.7412851,0.6088012
1583904960,234.7960983,0.0760434
1583905020,266.6112035,0.060031
1583905080,158.648752,0.6979152
1583905140,160.3646775,0.342583
1583905200,193.0663246,0.5873936
1583905260,145.100962,0.8117599
1583905320,126.2486432,0.1074122
1583905380,216.1320339,0.0295511
1583905440,140.3615138,0.5369941
1583905500,139.9117023,0.4610292
1583905560,277.8215109,0.847196
1583905620,218.1638449,0.1536434
1583905680,192.8750874,0.7007882
1583905740,189.1495645,0.8457572
1583905800,140.3696321,0.6405536
1583905860,174.5325412,0.0984019
1583905920,231.3749546,0.1444552
1583905980,150.2329933,0.022121
1583906040,276.6519215,0.7264212
1583906100,130.4387135,0.8181506
1583906160,145.2274348,0.2905371
1583906220,224.9842975,0.0757476
1583906280,201.1945571,0.6717185
1583906340,163.575275,0.0242172
1583906400,294.7030666,0.0755916
1583906460,176.4414765,0.4663915
1583906520,135.0497874,0.4585076
1583906580,253.779926,0.5626
1583906640,176.224073,0.0032403
1583906700,195.9444437,0.0055874
1583906760,104.6417092,0.2875694
1583906820,297.0667893,0.773738
1583906880,117.0277165,0.278131
1583906940,176.1207805,0.5586588
1583907000,289.1866553,0.0307088
1583907060,223.4822038,0.7584236
1583907120,135.8652271,0.9784635
1583907180,247.0523711,0.5920504
1583907240,235.1957273,0.0484994
1583907300,116.1981606,0.04164
1583907360,125.3587002,0.5861507
1583907420,230.9813193,0.7840667
1583907480,168.4305589,0.8776701
1583907540,277.3159739,0.1034383
1583907600,187.1327091,0.328398
1583907660,177.6818768,0.9790549
1583907720,157.9385871,0.0251397
1583907780,268.757461,0.1352144
1583907840,187.1209615,0.8411451
1583907900,199.8768757,0.4142765
1583907960,156.6666271,0.563675
1583908020,126.9894282,0.6279504
1583908080,173.7690346,0.5924835
1583908140,157.7431647,0.09929
1583908200,276.7068722,0.976771
1583908260,294.8807781,0.6139727
1583908320,223.7161778,0.4844294
1583908380,143.0613281,0.5579158
1583908440,222.8321558,0.3510384
1583908500,177.4596303,0.3184726
1583908560,285.5379827,0.6328009
1583908620,233.4832504,0.140705
1583908680,241.7197882,0.8741095
1583908740,241.8764551,0.792234
1583908800,287.0778849,0.7461751
1583908860,154.8810429,0.6632214
1583908920,126.3743979,0.6950342
1583908980,106.9985245,0.565895
1583909040,266.4283223,0.0892022
1583909100,251.3225057,0.7192436
1583909160,264.4387675,0.3963671
1583909220,260.7608679,0.977291
1583909280,202.0217386,0.1343055
1583909340,150.7424544,0.029571
1583909400,145.2167113,0.050724
1583909460,128.8686819,0.2519508
1583909520,129.924291,0.9001109
1583909580,240.2206952,0.2202924
1583909640,170.344593,0.2648416
1583909700,279.3138455,0.567836
1583909760,294.7058935,0.5093783
1583909820,204.8415699,0.8531187
1583909880,200.2484883,0.1197409
1583909940,150.9548496,0.2743411
1583910000,160.0585846,0.3006473
1583910060,151.2840712,0.4223412
1583910120,193.4042859,0.4452105
1583910180,138.621874,0.2645368
1583910240,289.7609682,0.890465
1583910300,144.7363357,0.4542965
1583910360,190.7356375,0.5879781
1583910420,110.8996186,0.690124
1583910480,231.1268589,0.7202167
1583910540,263.7961149,0.7968637
1583910600,138.1216792,0.8853951
1583910660,130.4208212,0.7102098
1583910720,114.6775959,0.7551351
1583910780,158.41072,0.6336467
1583910840,104.4008284,0.0018617
1583910900,273.5259824,0.0249475
1583910960,215.5963383,0.2995528
1583911020,168.6393777,0.2002858
1583911080,170.8292944,0.9958952
1583911140,201.4584556,0.243224
1583911200,291.3714081,0.0315828
1583911260,169.2350921,0.9829587
1583911320,110.858247,0.275049
1583911380,275.5527447,0.0830867
1583911440,229.6493355,0.3267383
1583911500,263.9679218,0.7084689
1583911560,144.8456266,0.5249006
1583911620,242.961581,0.8562305
1583911680,117.3514823,0.7975962
1583911740,250.7750535,0.5390924
1583911800,101.214843,0.2163216
1583911860,120.4690829,0.5188828
1583911920,225.4045998,0.1922614
1583911980,124.6416629,0.0997435
1583912040,284.8356923,0.7530285
1583912100,132.1124033,0.5667559
1583912160,191.7859154,0.747142
1583912220,224.5862018,0.7519825
1583912280,227.1019134,0.9951
1583912340,238.0354599,0.6893696
1583912400,120.9094264,0.921007
1583912460,129.4075703,0.7877041
1583912520,115.1512044,0.2876827
1583912580,237.4251211,0.5251026
1583912640,189.5101341,0.8205102
1583912700,155.081856,0.5207082
1583912760,104.5760962,0.1580775
1583912820,143.6729249,0.1440396
1583912880,295.3598163,0.1934151
1583912940,143.1486882,0.5637763
1583913000,155.8887136,0.3853951
1583913060,231.4529202,0.9033966
1583913120,106.548121,0.9983428
1583913180,163.6333158,0.9867684
1583913240,207.3798018,0.6341093
1583913300,118.5981828,0.9387457
1583913360,208.5359062,0.7289794
1583913420,292.6234475,0.2386947
1583913480,257.9703202,0.4125967
1583913540,228.802266,0.7492818
1583913600,267.9657867,0.6867972
1583913660,151.535043,0.6444676
1583913720,122.6919421,0.9860967
1583913780,214.2938735,0.5398783
1583913840,174.6804623,0.8419523
1583913900,134.8684786,0.2966049
1583913960,179.5252964,0.7948899
1583914020,104.2691835,0.3759975
1583914080,127.9240765,0.8789628
1583914140,125.6464401,0.1158764
1583914200,177.7648597,0.9405631
1583914260,248.1775614,0.1050771
1583914320,128.7454842,0.649507
1583914380,168.4895625,0.4846494
1583914440,162.9379652,0.1991633
1583914500,153.7065037,0.6847521
1583914560,190.2603572,0.1476447
1583914620,188.1594623,0.5083595
1583914680,198.1205241,0.5202107
1583914740,143.1477738,0.5606726
1583914800,234.8294455,0.1216886
1583914860,261.7794496,0.5850143
1583914920,140.2536159,0.7855727
1583914980,207.8557629,0.8613533
1583915040,253.0490399,0.4546953
1583915100,271.0247367,0.8176633
1583915160,259.8881537,0.6914782
1583915220,182.5465725,0.4774952
1583915280,187.5327956,0.5887518
1583915340,166.2732066,0.4114164
1583915400,181.6251505,0.991242
1583915460,153.7082632,0.3344416
1583915520,141.7094497,0.567958
1583915580,132.0269778,0.8914284
1583915640,299.3189923,0.256914
1583915700,266.5111696,0.0905504
1583915760,191.6412073,0.4593145
1583915820,182.5575245,0.3165849
1583915880,229.8721039,0.148861
1583915940,257.660048,0.7311584
1583916000,152.0136661,0.6861268
1583916060,257.0081725,0.3826771
1583916120,257.0837458,0.2386754
1583916180,237.6462987,0.7654344
1583916240,220.097446,0.9600031
1583916300,187.0436816,0.480463
1583916360,240.1350745,0.16209
1583916420,246.7178955,0.6207094
1583916480,172.2551219,0.7175548
1583916540,179.7474857,0.0545829
1583916600,159.2931619,0.6196535
1583916660,158.6697075,0.6803079
1583916720,296.2270057,0.271904
1583916780,164.9262942,0.7322696
1583916840,210.4513998,0.2648268
1583916900,230.8134444,0.6085703
1583916960,279.5674065,0.2738782
1583917020,186.5981996,0.2207771
1583917080,291.7044207,0.861807
1583917140,144.4356491,0.0717444
1583917200,267.4213531,0.173868
1583917260,229.4753414,0.5526748
1583917320,733.6287582,0.7599716
1583917380,417.9962919,0.8003896
1583917440,438.9425158,0.405417
1583917500,688.7303498,0.9305447
1583917560,292.8891104,0.5171714
1583917620,769.4312172,0.3763057
1583917680,558.0582417,0.5966197
1583917740,397.6021975,0.1632713
1583917800,583.2175023,0.0963095
1583917860,768.3681102,0.614769
1583917920,469.9803294,0.8385628
1583917980,463.7490759,0.240358
1583918040,519.6490854,0.4292364
1583918100,599.1199566,0.6779718
1583918160,571.5259262,0.4598774
1583918220,385.5566788,0.0809887
1583918280,797.050966,0.0783669
1583918340,638.1873953,0.2009028
1583918400,685.2763807,0.6792056
1583918460,312.6119655,0.0333819
1583918520,320.2101755,0.2368367
1583918580,786.4648734,0.5603329
1583918640,379.1314419,0.4142328
1583918700,314.4438782,0.4845838
1583918760,311.8292049,0.6904785
1583918820,798.031078,0.4599029
1583918880,599.0422509,0.5681326
1583918940,695.791098,0.5504486
1583919000,292.532337,0.8639398
1583919060,356.6896888,0.115623
1583919120,501.0225193,0.1299152
1583919180,352.1940676,0.9173868
1583919240,471.1375474,0.4736677
1583919300,330.5248765,0.5473419
1583919360,238.715338,0.8354001
1583919420,695.2023645,0.4703659
1583919480,252.8990877,0.0758052
1583919540,334.5854354,0.5673652
1583919600,559.5488915,0.4519631
1583919660,278.9252583,0.9007488
1583919720,777.4877977,0.2445701
1583919780,774.7201123,0.2946738
1583919840,440.6502448,0.2602957
1583919900,408.9754094,0.1587309
1583919960,706.1398172,0.6063451
1583920020,285.8990044,0.2513939
1583920080,708.6937325,0.231476
1583920140,621.4326495,0.2323843
1583920200,231.4892964,0.4214341
1583920260,225.2806092,0.3324777
1583920320,246.8003264,0.5647855
1583920380,329.473081,0.9990691
1583920440,751.7351023,0.1683713
1583920500,570.4474041,0.085954
1583920560,518.9832563,0.6955794
1583920620,666.1775604,0.8593521
1583920680,466.5118109,0.9435813
1583920740,760.7273105,0.7690653
1583920800,718.4103485,0.1857191
1583920860,628.7906378,0.4137779
1583920920,754.1360386,0.5336319
1583920980,363.7519231,0.8173903
1583921040,527.6093114,0.5747045
1583921100,374.6792181,0.946791
1583921160,376.533535,0.796793
1583921220,581.3062142,0.2976796
1583921280,488.3505065,0.3233255
1583921340,544.2391296,0.7395469
1583921400,416.0093253,0.1467129
1583921460,291.8367545,0.4214126
1583921520,574.9855899,0.6909289
1583921580,784.8702723,0.2062271
1583921640,771.8615306,0.082529
1583921700,496.1373576,0.757677
1583921760,229.7605312,0.9634996
1583921820,232.9910091,0.1887879
1583921880,490.451519,0.5640404
1583921940,530.9070513,0.8004372
1583922000,761.3147115,0.2690828
1583922060,265.0170063,0.2311347
1583922120,364.3140886,0.2287771
1583922180,558.6500643,0.867036
1583922240,405.64674,0.3029832
1583922300,241.1583447,0.9969075
1583922360,486.4371414,0.6924721
1583922420,550.4669605,0.0287362
1583922480,727.1981207,0.6872283
1583922540,590.9905306,0.146602
1583922600,453.6893268,0.1427967
1583922660,520.5976796,0.0098613
1583922720,335.1417539,0.0623124
1583922780,395.4462667,0.0957918
1583922840,369.2231402,0.0111946
1583922900,350.7307441,0.4902591
1583922960,278.9089878,0.7052749
1583923020,292.8828817,0.7330524
1583923080,655.2091182,0.0773097
1583923140,546.2435123,0.7149987
1583923200,792.5043586,0.0448005
1583923260,622.7117747,0.3670801
1583923320,542.4229702,0.96861
1583923380,733.9104035,0.537661
1583923440,369.6881513,0.2080924
1583923500,736.9026534,0.9700936
1583923560,614.7433166,0.6653614
1583923620,243.1944432,0.4668807
1583923680,556.4786484,0.8904137
1583923740,542.1633128,0.3934862
1583923800,577.675387,0.8719455
1583923860,738.0510953,0.9676336
1583923920,282.7413275,0.7215994
1583923980,291.0571936,0.7474754
1583924040,541.8936414,0.9010135
1583924100,577.3869323,0.1608646
1583924160,329.9140878,0.8819835
1583924220,204.7623898,0.0152293
1583924280,349.0757148,0.9040278
1583924340,758.20115,0.0819547
1583924400,778.7618981,0.214986
1583924460,581.0524174,0.8267832
1583924520,243.8785766,0.8123929
1583924580,340.9573215,0.7270998
1583924640,696.3833778,0.2410332
1583924700,476.8371924,0.9386279
1583924760,487.7412271,0.8716939
1583924820,694.4990003,0.6442447
1583924880,495.31801,0.927783
1583924940,746.797078,0.1396245
1583925000,770.7657342,0.3802515
1583925060,267.2316917,0.8391374
1583925120,618.653126,0.6042204
1583925180,652.0067336,0.1420964
1583925240,514.7790312,0.8119158
1583925300,665.7944425,0.7068112
1583925360,246.818237,0.3929709
1583925420,645.0098522,0.6212919
1583925480,283.9463389,0.0390228
1583925540,556.2267239,0.7864607
1583925600,607.4838111,0.3263448
1583925660,444.6653014,0.4005219
1583925720,798.9229334,0.7613818
1583925780,414.5457956,0.4415855
1583925840,428.3048724,0.0890915
1583925900,718.4486063,0.6587107
1583925960,570.181003,0.8433828
1583926020,687.4576939,0.3624651
1583926080,308.2098518,0.9507566
1583926140,374.2757109,0.6229184
1583926200,424.6621767,0.4335938
1583926260,597.5990256,0.1049541
1583926320,499.6161018,0.2963479
1583926380,717.2671742,0.3059
1583926440,391.1634384,0.8146709
1583926500,534.4761488,0.5537664
1583926560,205.0924221,0.8979632
1583926620,740.3773319,0.7478662
1583926680,292.7239849,0.7830683
1583926740,222.2574597,0.694696
1583926800,489.1430964,0.4095595
1583926860,273.2585652,0.1475077
1583926920,725.6781732,0.8952958
1583926980,536.2520344,0.033718
1583927040,582.9249551,0.9018619
1583927100,322.3550423,0.0774448
1583927160,265.4054889,0.0215536
1583927220,518.311921,0.5584677
1583927280,259.485909,0.7289818
1583927340,578.8083127,0.0306993
1583927400,608.7970484,0.8138702
1583927460,769.9533647,0.3213169
1583927520,595.2477068,0.2580223
1583927580,614.1349732,0.1193434
1583927640,551.100566,0.3599721
1583927700,330.3674454,0.680339
1583927760,610.940729,0.7567747
1583927820,790.9934248,0.2448054
1583927880,590.5810851,0.8779146
1583927940,478.827859,0.4247236
1583928000,463.3517796,0.059706
1583928060,312.5900712,0.9414262
1583928120,260.935121,0.6563561
1583928180,749.4862712,0.3912436
1583928240,276.1271081,0.4903408
1583928300,343.5215244,0.0551168
1583928360,765.2515681,0.0899572
1583928420,286.5184943,0.3287869
1583928480,691.6748484,0.3709956
1583928540,294.4787401,0.2895035
1583928600,462.5995119,0.4935577
1583928660,615.3663357,0.3869731
1583928720,733.0423679,0.7557483
1583928780,531.0501247,0.876891
1583928840,590.7282047,0.2127034
1583928900,428.1664558,0.8642222
1583928960,556.5603004,0.7371281
1583929020,620.9449855,0.5865996
1583929080,736.5526048,0.0754126
1583929140,371.146406,0.6258143
1583929200,349.1249983,0.7731344
1583929260,415.0442235,0.3680155
1583929320,300.3791578,0.972501
1583929380,779.3649176,0.795691
1583929440,663.8571962,0.7917025
1583929500,200.2676989,0.221726
1583929560,339.6907667,0.5788077
1583929620,442.1535732,0.1974033
1583929680,519.1369817,0.3660769
1583929740,337.852984,0.0864402
1583929800,548.9177432,0.4502355
1583929860,305.0916274,0.9380267
1583929920,721.3702928,0.9869486
1583929980,682.6521813,0.1941052
1583930040,381.246392,0.7583724
1583930100,698.1829386,0.0235219
1583930160,600.5739765,0.4599836
1583930220,510.3356508,0.4280393
1583930280,257.593443,0.4619375
1583930340,672.2008479,0.1139116
1583930400,707.0417864,0.9474026
1583930460,401.649921,0.1726886
1583930520,560.0549569,0.7143525
1583930580,528.225932,0.6985019
1583930640,650.8201631,0.9505255
1583930700,460.2005399,0.3377324
1583930760,320.7238199,0.3867485
1583930820,390.5611963,0.4950067
1583930880,725.8694091,0.1875358
1583930940,481.9602244,0.6326453
1583931000,588.3309137,0.2365682
1583931060,655.146286,0.3805349
1583931120,571.608136,0.6318917
1583931180,511.9511683,0.7020129
1583931240,705.1982269,0.8979808
1583931300,791.7173343,0.6480588
1583931360,550.2169789,0.1735015
1583931420,718.8565486,0.1649624
1583931480,610.1722871,0.0550376
1583931540,414.3058883,0.3016659
1583931600,502.9355643,0.2934527
1583931660,479.5122049,0.258765
1583931720,342.6188753,0.4448727
1583931780,525.9878633,0.8418044
1583931840,533.8774351,0.6782278
1583931900,355.9733371,0.8228841
1583931960,319.6010945,0.6794111
1583932020,565.3540169,0.0720211
1583932080,560.0859362,0.2308108
1583932140,408.1834436,0.1739343
1583932200,491.1043217,0.3692851
1583932260,491.441003,0.8817718
1583932320,552.7195137,0.5697466
1583932380,779.7493467,0.5590706
1583932440,663.6789812,0.9506595
1583932500,344.988236,0.0312866
1583932560,410.588441,0.8636219
1583932620,646.1799684,0.8168128
1583932680,262.0821171,0.8598384
1583932740,764.5678651,0.9941965
1583932800,480.2327956,0.7256171
1583932860,599.3458937,0.5846786
1583932920,279.6054423,0.7806363
1583932980,340.8373601,0.6398956
1583933040,665.9200672,0.0760191
1583933100,362.872239,0.1058191
1583933160,606.9679497,0.8676512
1583933220,241.0274774,0.1510936
1583933280,201.4251655,0.210878
1583933340,442.527298,0.1235497
1583933400,296.9218306,0.9042889
1583933460,694.5371005,0.4878633
1583933520,753.9679557,0.9649777
1583933580,621.7331262,0.4447554
1583933640,342.6525536,0.7452611
1583933700,580.6060458,0.7288644
1583933760,243.4402784,0.3791241
1583933820,564.536353,0.1891744
1583933880,798.6796524,0.0685883
1583933940,569.4157224,0.7603838
1583934000,430.4041128,0.2518965
1583934060,487.4845824,0.9785152
1583934120,517.8231112,0.6680714
1583934180,383.4702282,0.0205342
1583934240,331.3285078,0.4403196
1583934300,720.4209753,0.3389714
1583934360,246.0906707,0.1297172
1583934420,599.0342198,0.027607
1583934480,726.4871496,0.9479369
1583934540,651.1383132,0.2537666
1583934600,416.7693138,0.7796616
1583934660,619.3676518,0.2070589
1583934720,665.8761844,0.8516661
1583934780,761.4389445,0.6385376
