,sent,received
1583115660,211.6348236,0.5128989
1583115720,242.5794195,0.1546249
1583115780,289.1402616,0.5122163
1583115840,277.3262987,0.3405247
1583115900,140.4061301,0.237724
1583115960,123.2201564,0.0719894
1583116020,221.7474211,0.9889416
1583116080,185.4762298,0.3909205
1583116140,113.7131531,0.5950374
1583116200,257.9884584,0.5562052
1583116260,284.7525565,0.158693
1583116320,270.3921256,0.7947882
1583116380,183.7772906,0.5285423
1583116440,110.9420389,0.0425958
1583116500,201.2403241,0.038575
1583116560,130.3061491,0.0052139
1583116620,251.5606408,0.6897961
1583116680,243.7599035,0.8254972
1583116740,157.0608108,0.0081724
1583116800,286.9555594,0.4905425
1583116860,198.1964058,0.837424
1583116920,180.9329533,0.8136618
1583116980,154.6365778,0.2095166
1583117040,218.5622249,0.2482596
1583117100,157.4507904,0.1927018
1583117160,178.669727,0.394711
1583117220,129.5583862,0.129757
1583117280,146.2401757,0.6268203
1583117340,166.5849088,0.6973226
1583117400,148.239919,0.0399454
1583117460,178.6471767,0.1428588
1583117520,165.4351198,0.5937277
1583117580,134.4661581,0.9096294
1583117640,214.3698507,0.7277139
1583117700,200.5839689,0.388929
1583117760,188.4523539,0.9628124
1583117820,297.6639078,0.8174504
1583117880,222.5987849,0.8167256
1583117940,256.7055797,0.0964876
1583118000,102.2469601,0.6803266
1583118060,101.613815,0.4704097
1583118120,142.2813419,0.61671
1583118180,270.6574758,0.0767202
1583118240,286.1929909,0.1824313
1583118300,271.8736102,0.7068948
1583118360,250.6081751,0.3421712
1583118420,217.3592571,0.814823
1583118480,169.4647438,0.921479
1583118540,243.2967743,0.2752091
1583118600,239.5800424,0.9832639
1583118660,287.3317706,0.0300051
1583118720,258.4627925,0.5085634
1583118780,235.699567,0.9041221
1583118840,265.7494455,0.0310786
1583118900,175.4124956,0.1674252
1583118960,176.9128722,0.9894403
1583119020,163.3451146,0.4589913
1583119080,166.986083,0.0719972
1583119140,197.1704282,0.8096742
1583119200,175.7764468,0.0148286
1583119260,197.0361635,0.2840512
1583119320,254.8727586,0.3337974
1583119380,283.2632555,0.6419378
1583119440,239.2310407,0.8166483
1583119500,128.6539782,0.2892636
1583119560,228.4469298,0.0276368
1583119620,184.5384575,0.228115
1583119680,296.320646,0.473516
1583119740,169.9623481,0.7109741
1583119800,245.4313583,0.6167846
1583119860,139.4357919,0.2057629
1583119920,217.1701401,0.619
1583119980,246.0150688,0.6950489
1583120040,266.3514926,0.9658264
1583120100,268.5315009,0.7641435
1583120160,204.2279322,0.9725992
1583120220,105.4437891,0.826885
1583120280,164.1250053,0.419256
1583120340,200.0635962,0.9147123
1583120400,290.7145932,0.0749123
1583120460,190.7124673,0.7891029
1583120520,231.8002894,0.9493517
1583120580,166.3671139,0.1052193
1583120640,104.4016821,0.1101498
1583120700,240.4910934,0.6610777
1583120760,280.7797501,0.4835553
1583120820,231.3328849,0.5039974
1583120880,198.5255961,0.0438485
1583120940,122.0472036,0.1644914
1583121000,154.0881881,0.7578254
1583121060,185.1477572,0.7826077
1583121120,299.2939815,0.8119566
1583121180,230.9293535,0.9438887
1583121240,200.035201,0.4302844
1583121300,243.5156988,0.3607342
1583121360,178.5677604,0.5787987
1583121420,132.1147522,0.1033483
1583121480,238.6797574,0.6262159
1583121540,227.0101405,0.9604345
1583121600,101.4998234,0.8011272
1583121660,296.5733364,0.3241697
1583121720,263.0046365,0.7741806
1583121780,190.8213047,0.7439207
1583121840,296.5648354,0.7076666
1583121900,260.8078981,0.2494779
1583121960,254.7377942,0.5171654
1583122020,143.2360984,0.6489924
1583122080,254.7516418,0.696522
1583122140,139.7094387,0.4042652
1583122200,280.8005114,0.9465639
1583122260,292.5430927,0.1281737
1583122320,267.4325732,0.3051408
1583122380,171.1369367,0.2158632
1583122440,299.5059895,0.3057418
1583122500,185.4367324,0.7937671
1583122560,228.6667304,0.2382885
1583122620,284.541985,0.0859891
1583122680,220.0623094,0.0991245
1583122740,163.0813961,0.2152296
1583122800,250.8277247,0.4888609
1583122860,101.2855124,0.2343076
1583122920,259.8635507,0.5067321
1583122980,148.1817879,0.9258572
1583123040,273.3801214,0.8888163
1583123100,126.5619889,0.7647687
1583123160,151.6624531,0.8599624
1583123220,294.8881272,0.8284482
1583123280,153.7743261,0.5853972
1583123340,105.9971169,0.4248667
1583123400,247.2395923,0.1024462
1583123460,123.1509521,0.626378
1583123520,123.0591339,0.974594
1583123580,192.6579,0.0311706
1583123640,277.9457237,0.2334647
1583123700,164.8784857,0.3408857
1583123760,259.7099174,0.3824789
1583123820,297.6385303,0.1421687
1583123880,137.3022614,0.5506818
1583123940,180.0416061,0.918836
1583124000,116.7202482,0.7273777
1583124060,218.3636297,0.3358239
1583124120,176.5334318,0.8484874
1583124180,222.4696752,0.8759996
1583124240,298.5851142,0.188664
1583124300,249.1424432,0.8259077
1583124360,258.5319749,0.9787004
1583124420,274.4236585,0.960114
1583124480,284.7330255,0.8661345
1583124540,279.6713171,0.0864298
1583124600,254.5899645,0.0484083
1583124660,243.6680863,0.289963
1583124720,210.7394117,0.6401526
1583124780,143.9788998,0.1099833
1583124840,231.1338619,0.0236199
1583124900,263.3999563,0.2896926
1583124960,173.6784072,0.3507759
1583125020,231.4491639,0.8283178
1583125080,250.9856152,0.3176763
1583125140,297.6885504,0.9809831
1583125200,157.5096299,0.3223964
1583125260,155.2724337,0.2805641
1583125320,268.314168,0.5281175
1583125380,227.4663441,0.644768
1583125440,231.7655129,0.2302621
1583125500,277.1695985,0.4147964
1583125560,140.7232686,0.94179
1583125620,128.060077,0.6284354
1583125680,279.7542886,0.851494
1583125740,213.4141311,0.713747
1583125800,178.3292428,0.3226442
1583125860,162.5067413,0.5491659
1583125920,262.8119953,0.2362198
1583125980,145.1813282,0.2834599
1583126040,204.8776019,0.4214195
1583126100,193.6164074,0.2652593
1583126160,213.4223425,0.4229936
1583126220,157.9776683,0.1500944
1583126280,100.0498625,0.7503451
1583126340,115.5420672,0.8630338
1583126400,145.1480084,0.8157611
1583126460,296.4255746,0.347754
1583126520,247.147327,0.3579029
1583126580,284.3204017,0.6978702
1583126640,180.8521022,0.8938495
1583126700,143.9703991,0.8104811
1583126760,110.3704337,0.5198948
1583126820,125.442567,0.5717899
1583126880,185.2565749,0.8879852
1583126940,159.8509301,0.188519
1583127000,101.1749581,0.1905427
1583127060,158.8835966,0.9431593
1583127120,179.7523413,0.0355546
1583127180,202.523301,0.7017378
1583127240,155.4347718,0.9381812
1583127300,247.0840986,0.3600698
1583127360,127.2182322,0.4385167
1583127420,183.6429894,0.5235562
1583127480,151.129384,0.4389978
1583127540,152.2668065,0.9616796
1583127600,296.2997903,0.2813034
1583127660,150.0151729,0.100344
1583127720,142.0576305,0.3844076
1583127780,164.6631425,0.4024611
1583127840,170.9370425,0.8752608
1583127900,280.8789704,0.4792487
1583127960,216.32082,0.6838468
1583128020,205.3529988,0.8125582
1583128080,168.8688724,0.5278985
1583128140,280.1797514,0.2760981
1583128200,273.3270975,0.0248093
1583128260,287.2981178,0.5404588
1583128320,258.4336996,0.9682103
1583128380,115.4165965,0.88438
1583128440,244.9513086,0.023219
1583128500,270.7299735,0.8390558
1583128560,244.6440852,0.8869646
1583128620,199.1508401,0.2732276
1583128680,109.745868,0.2951771
1583128740,194.5523511,0.7390377
1583128800,279.8538259,0.4704833
1583128860,164.1894423,0.2976465
1583128920,135.4941723,0.1120654
1583128980,231.6577238,0.4061006
1583129040,117.260904,0.8509821
1583129100,106.567084,0.4779466
1583129160,284.052051,0.5243448
1583129220,176.0517206,0.60805
1583129280,289.9614722,0.4479413
1583129340,245.3409585,0.0198896
1583129400,200.1616357,0.4646749
1583129460,289.7125213,0.5306832
1583129520,170.8023801,0.5981216
1583129580,121.9082816,0.5918887
1583129640,115.7636889,0.890758
1583129700,295.4662568,0.2671124
1583129760,257.4210507,0.0474213
1583129820,281.866257,0.6871297
1583129880,147.6313492,0.6540152
1583129940,203.1122059,0.2628762
1583130000,153.4865471,0.3894534
1583130060,141.9380176,0.984727
1583130120,164.723043,0.4118718
1583130180,108.3447429,0.1856688
1583130240,285.3883936,0.9736585
1583130300,268.0989812,0.6977969
1583130360,140.2543596,0.2569278
1583130420,239.3534557,0.2334342
1583130480,101.9124216,0.2427715
1583130540,241.5017607,0.0258634
1583130600,257.3474456,0.2294755
1583130660,177.3474334,0.1234707
1583130720,193.2352237,0.4491087
1583130780,251.0640373,0.7485065
1583130840,230.2265753,0.781394
1583130900,161.3166182,0.8872533
1583130960,168.8882619,0.5877789
1583131020,284.0266673,0.841732
1583131080,104.4482071,0.2216506
1583131140,182.7265952,0.7864128
1583131200,102.5757586,0.6060123
1583131260,265.4937818,0.7058566
1583131320,164.4800764,0.7211299
1583131380,136.1613966,0.2534427
1583131440,257.2777582,0.1008226
1583131500,227.295563,0.463145
1583131560,201.85182,0.6023785
1583131620,242.8293394,0.4856708
1583131680,295.7105529,0.9379355
1583131740,173.8533269,0.2177526
1583131800,190.6590796,0.4367521
1583131860,227.8754366,0.8958067
1583131920,289.3693503,0.4800862
1583131980,256.3762183,0.9343904
1583132040,190.1530434,0.7759358
1583132100,245.7372624,0.0834502
1583132160,182.6587139,0.7078304
1583132220,222.1348312,0.7323158
1583132280,203.0894972,0.0271688
1583132340,187.1479009,0.5116106
1583132400,191.0402064,0.8531681
1583132460,124.8997168,0.2493342
1583132520,128.3881639,0.6744936
1583132580,241.7078785,0.2767812
1583132640,106.832512,0.2009435
1583132700,262.6441252,0.5762498
1583132760,174.126797,0.4441326
1583132820,214.0005439,0.5958585
1583132880,219.3993527,0.9097434
1583132940,140.6780093,0.0461735
1583133000,130.5337195,0.4922349
1583133060,240.5709894,0.9833801
1583133120,166.3653082,0.0727353
1583133180,197.6253112,0.9958971
1583133240,280.3161816,0.4303498
1583133300,234.38478,0.4763578
1583133360,226.6801775,0.80516
1583133420,165.5963553,0.1707324
1583133480,118.3675214,0.9114219
1583133540,199.2448086,0.8095791
1583133600,120.0629058,0.7632816
1583133660,182.1787327,0.0827653
1583133720,289.0806115,0.9944053
1583133780,207.6812656,0.058202
1583133840,139.8414468,0.0299402
1583133900,114.10455,0.5498908
1583133960,211.7054788,0.8801572
1583134020,193.4547733,0.8468266
1583134080,185.9438145,0.6445784
1583134140,205.7761537,0.8914851
1583134200,159.695204,0.0989314
1583134260,209.6233749,0.2139007
1583134320,234.2886163,0.3471047
1583134380,163.16866,0.5879713
1583134440,221.0878024,0.6164365
1583134500,278.1545421,0.2726553
1583134560,180.1846931,0.5101682
1583134620,240.425898,0.3236704
1583134680,292.0553335,0.9192722
1583134740,212.9873779,0.3793602
1583134800,273.3622622,0.2941706
1583134860,241.8360387,0.0682734
1583134920,266.2559973,0.1665348
1583134980,127.3974322,0.4601274
1583135040,258.3307075,0.4470779
1583135100,279.219785,0.6491817
1583135160,166.363336,0.2580984
1583135220,106.9285823,0.6174481
1583135280,165.1887809,0.9559829
1583135340,221.4937828,0.242989
1583135400,110.4861353,0.8774213
1583135460,250.0715168,0.9717182
1583135520,283.5169979,0.5766907
1583135580,203.3364582,0.4547066
1583135640,212.2069254,0.6874075
1583135700,230.2391837,0.3407309
1583135760,175.2593863,0.4077667
1583135820,132.2113951,0.7652772
1583135880,234.1882981,0.3149458
1583135940,164.5294411,0.9282613
1583136000,187.7152709,0.3806697
1583136060,202.2486097,0.3478492
1583136120,151.2052865,0.2125804
1583136180,166.8087446,0.6734553
1583136240,138.3440691,0.0895066
1583136300,197.7260763,0.5602277
1583136360,234.2887484,0.0125564
1583136420,149.1562916,0.2315441
1583136480,111.6277611,0.9802019
1583136540,260.0419621,0.8228797
1583136600,258.3138487,0.6211698
1583136660,291.0732382,0.6078489
1583136720,228.7678076,0.188897
1583136780,269.1835612,0.976481
1583136840,188.344608,0.1722024
1583136900,216.45191,0.7067817
1583136960,118.6509208,0.5587261
1583137020,136.0938151,0.1937809
1583137080,257.6250395,0.6590873
1583137140,293.190146,0.5526001
1583137200,122.8739125,0.5147943
1583137260,208.8034504,0.7919534
1583137320,159.7550435,0.9748713
1583137380,293.6394357,0.1990699
1583137440,142.4826921,0.7580846
1583137500,149.6267084,0.7137531
1583137560,123.9325457,0.4953936
1583137620,116.6874207,0.0094751
1583137680,240.4449709,0.7648192
1583137740,167.7551103,0.5982867
1583137800,135.495181,0.2361772
1583137860,274.9510154,0.2178706
1583137920,124.7815619,0.3539532
1583137980,267.6099929,0.9203388
1583138040,180.0667624,0.5265725
1583138100,114.4599739,0.7049165
1583138160,169.6239542,0.5231731
1583138220,151.5961724,0.8220254
1583138280,243.9871284,0.9858179
1583138340,269.7973095,0.5889986
1583138400,161.8587081,0.6420684
1583138460,276.9350908,0.0064619
1583138520,120.0547504,0.287419
1583138580,164.7562785,0.3830365
1583138640,110.9444462,0.3817949
1583138700,138.9934342,0.0940394
1583138760,274.2906836,0.8556606
1583138820,219.12542,0.2219747
1583138880,255.1563863,0.5333107
1583138940,188.9343771,0.9698093
1583139000,258.1569508,0.6101086
1583139060,192.3625662,0.0468126
1583139120,157.4586017,0.1082935
1583139180,262.5857747,0.6676356
1583139240,258.0676942,0.8161359
1583139300,266.8290809,0.6487199
1583139360,205.0504766,0.7546436
1583139420,152.566361,0.7345449
1583139480,204.7268805,0.2955143
1583139540,103.1444439,0.1869499
1583139600,239.7326864,0.0608902
1583139660,467.785942,0.8113389
1583139720,635.4396673,0.9765128
1583139780,224.190216,0.6266723
1583139840,584.0108441,0.6055294
1583139900,231.7490907,0.8275952
1583139960,695.2635214,0.7060278
1583140020,696.5920057,0.0529742
1583140080,570.4049691,0.5540497
1583140140,699.0712804,0.7443312
1583140200,379.6483308,0.7629135
1583140260,281.6904512,0.8316694
1583140320,739.9849597,0.9099792
1583140380,756.9904216,0.391501
1583140440,663.2093326,0.7649291
1583140500,385.059764,0.1852814
1583140560,672.8966347,0.5196157
1583140620,753.0503706,0.6862035
1583140680,738.5604798,0.9215709
1583140740,627.8408187,0.172638
1583140800,533.8764264,0.656541
1583140860,732.9860645,0.4125403
1583140920,630.5749821,0.5746441
1583140980,661.1757587,0.1837833
1583141040,769.0033214,0.9973746
1583141100,709.2911608,0.5521049
1583141160,490.2662289,0.9242751
1583141220,263.2372658,0.8593853
1583141280,336.9733551,0.8787894
1583141340,219.8002476,0.9419305
1583141400,706.2558484,0.9327659
1583141460,361.8479116,0.5538094
1583141520,483.6711153,0.3032431
1583141580,668.5335632,0.2741808
1583141640,347.9886987,0.9157036
1583141700,359.4661702,0.7390488
1583141760,424.984646,0.4163359
1583141820,636.4788257,0.6655446
1583141880,340.4616073,0.1803353
1583141940,345.9228358,0.8148033
1583142000,379.4276778,0.2875383
1583142060,547.3700084,0.7221668
1583142120,501.734557,0.6882897
1583142180,703.2393492,0.691711
1583142240,268.1356624,0.2154734
1583142300,409.7843368,0.9080016
1583142360,704.168865,0.2501282
1583142420,735.3668701,0.9054504
1583142480,599.672415,0.5664385
1583142540,270.5985491,0.2289453
1583142600,220.0492157,0.6705089
1583142660,323.0298754,0.4889875
1583142720,426.9482683,0.6719533
1583142780,543.8826932,0.5649147
1583142840,378.2237084,0.818472
1583142900,534.7253807,0.6720357
1583142960,775.383992,0.9894511
1583143020,589.8739139,0.750448
1583143080,612.2711323,0.2126455
1583143140,639.3395305,0.3766494
1583143200,512.4797825,0.8872571
1583143260,692.1396326,0.5313234
1583143320,279.6206614,0.0717424
1583143380,532.1531401,0.7334748
1583143440,539.259186,0.1906666
1583143500,693.3692044,0.1102823
1583143560,670.5589031,0.2508623
1583143620,220.4970913,0.4384183
1583143680,542.5981892,0.7231623
1583143740,662.611562,0.4179839
1583143800,391.7554355,0.9524485
1583143860,312.5236357,0.7117686
1583143920,357.1730464,0.7510976
1583143980,665.0114538,0.2212911
1583144040,721.9802076,0.2120249
1583144100,735.1327157,0.1526204
1583144160,270.704771,0.748522
1583144220,764.8804464,0.1060065
1583144280,241.7456476,0.3078745
1583144340,687.3819113,0.7565798
1583144400,623.9469501,0.9233659
1583144460,550.9034999,0.8222084
1583144520,267.0227875,0.7472887
1583144580,310.8744695,0.9589765
1583144640,281.0991833,0.023968
1583144700,558.788594,0.9286356
1583144760,712.464706,0.4060136
1583144820,323.705407,0.4771442
1583144880,488.9842836,0.8534326
1583144940,226.3161344,0.4129594
1583145000,627.7896342,0.1614943
1583145060,532.5484386,0.4788289
1583145120,361.8269337,0.4864298
1583145180,439.9497603,0.773116
1583145240,271.2900876,0.8161252
1583145300,567.4190295,0.5075571
1583145360,643.9771146,0.2902003
1583145420,222.510538,0.9990523
1583145480,286.8945673,0.0071224
1583145540,725.9812186,0.7261486
1583145600,437.9462954,0.3818413
1583145660,660.7469848,0.6050708
1583145720,552.1860946,0.5577597
1583145780,621.0426128,0.0095279
1583145840,696.9285651,0.2069918
1583145900,320.9108938,0.1724695
1583145960,256.8731887,0.3021257
1583146020,217.2638018,0.3382073
1583146080,447.9524395,0.411773
1583146140,795.4104939,0.5160361
1583146200,786.3826353,0.290337
1583146260,207.3738226,0.5455554
1583146320,637.44939,0.6994418
1583146380,557.3014544,0.9537115
1583146440,416.5656989,0.0177062
1583146500,232.2859346,0.685626
1583146560,320.561445,0.400839
1583146620,541.5587851,0.17391
1583146680,512.7352199,0.7103413
1583146740,257.7793643,0.15905
1583146800,227.9198932,0.5774842
1583146860,722.4804023,0.1254616
1583146920,734.984864,0.2747334
1583146980,788.9658053,0.5019442
1583147040,359.341726,0.0853804
1583147100,556.9745528,0.6487298
1583147160,353.0069837,0.7001804
1583147220,775.9338931,0.1812569
1583147280,354.2098906,0.4569409
1583147340,320.9778353,0.5745476
1583147400,491.7934077,0.1212018
1583147460,533.574399,0.0333588
1583147520,315.4647062,0.4135701
1583147580,433.5853182,0.897249
1583147640,473.7693777,0.7832445
1583147700,307.0381038,0.5800409
1583147760,785.4465746,0.4465177
1583147820,706.1012023,0.0130261
1583147880,528.6571933,0.450255
1583147940,630.7299383,0.8294162
1583148000,794.8625717,0.2113674
1583148060,529.0422512,0.1047948
1583148120,653.0392091,0.6662516
1583148180,209.1677286,0.9868523
1583148240,798.5551156,0.97976
1583148300,324.43195,0.8038712
1583148360,657.9774358,0.6980106
1583148420,329.4158573,0.8934186
1583148480,531.1736509,0.2630478
1583148540,336.2536891,0.3909172
1583148600,273.9569117,0.4570609
1583148660,659.5743969,0.3507752
1583148720,320.2448745,0.0641439
1583148780,565.8805339,0.706381
1583148840,740.1761355,0.0935313
1583148900,491.5104317,0.1249252
1583148960,699.6185434,0.4889551
1583149020,520.1832154,0.9914433
1583149080,260.0153365,0.6510497
1583149140,525.0077729,0.4855722
1583149200,473.2728563,0.1293022
1583149260,729.4919556,0.5229316
1583149320,484.5538789,0.1527081
1583149380,353.3398101,0.3238057
1583149440,536.5095596,0.640499
1583149500,660.3861679,0.1242819
1583149560,689.1286902,0.7315965
1583149620,395.4544139,0.9996863
1583149680,269.922491,0.3782069
1583149740,201.6371448,0.9302557
1583149800,413.2658185,0.909176
1583149860,513.4543616,0.0701825
1583149920,411.4074991,0.4179531
1583149980,641.2654188,0.4307044
1583150040,626.2182029,0.6974951
1583150100,301.953787,0.6429589
1583150160,527.9783853,0.318745
1583150220,445.4217287,0.2515677
1583150280,279.7570385,0.2871582
1583150340,519.3627908,0.0073316
1583150400,742.0229887,0.8395265
1583150460,440.6258484,0.5504993
1583150520,637.629651,0.5194103
1583150580,398.6383763,0.1165305
1583150640,692.002297,0.3916902
1583150700,377.9789397,0.4365257
1583150760,369.5918678,0.4491428
1583150820,662.4980044,0.4689427
1583150880,540.8754063,0.3886633
1583150940,393.9495726,0.7093577
1583151000,544.2591064,0.0667776
1583151060,632.553697,0.4530859
1583151120,525.9975523,0.2972831
1583151180,745.2323132,0.3702871
1583151240,709.3751276,0.3161213
1583151300,793.6771627,0.7086256
1583151360,740.2947236,0.2508581
1583151420,300.0469705,0.3938108
1583151480,791.0283436,0.8985159
1583151540,747.4535863,0.6690131
1583151600,288.276404,0.8628433
1583151660,612.0460177,0.202238
1583151720,491.6471013,0.8662956
1583151780,210.4261951,0.8552916
1583151840,286.5361088,0.2502429
1583151900,404.9899162,0.5053132
1583151960,673.6732636,0.8439194
1583152020,539.7430803,0.2986521
1583152080,280.8737132,0.2451858
1583152140,469.4690352,0.5661866
1583152200,603.6679603,0.8900087
1583152260,333.0282825,0.3807791
1583152320,207.5267561,0.8580589
1583152380,419.777237,0.0643257
1583152440,229.9569953,0.7198631
1583152500,757.5925743,0.1056884
1583152560,495.445075,0.2468266
1583152620,525.312014,0.5506771
1583152680,260.618124,0.4285766
1583152740,646.0122384,0.8447026
1583152800,520.89822,0.9147486
1583152860,639.3586668,0.3741177
1583152920,729.5451467,0.8402209
1583152980,692.3178835,0.576991
1583153040,592.8830316,0.971669
1583153100,700.960781,0.3806311
1583153160,456.2612874,0.2566077
1583153220,228.9532671,0.2274144
1583153280,564.0575014,0.3151784
1583153340,775.9046954,0.2489496
1583153400,600.3717267,0.7984538
1583153460,237.5221581,0.1580693
1583153520,713.3133951,0.4542567
1583153580,347.3099499,0.2441468
1583153640,294.5851023,0.1388605
1583153700,336.7150297,0.2439354
1583153760,404.5476591,0.7565329
1583153820,243.7321146,0.5871852
1583153880,736.6788457,0.4748315
1583153940,619.5285807,0.0283608
1583154000,281.2499554,0.0014334
1583154060,287.9704135,0.0535788
1583154120,226.8107562,0.9539069
1583154180,310.9307763,0.3783902
1583154240,310.4668996,0.1721361
1583154300,312.0628553,0.5998963
1583154360,425.1628411,0.0140125
1583154420,476.1747154,0.8711926
1583154480,417.2661521,0.3616475
1583154540,524.3608988,0.2179979
1583154600,674.8842068,0.6435989
1583154660,366.136349,0.0873022
1583154720,278.2054665,0.8484664
1583154780,386.6287731,0.4766739
1583154840,391.313737,0.2093388
1583154900,574.7739122,0.5267999
1583154960,789.1679406,0.1902425
1583155020,621.2488744,0.2249167
1583155080,461.8318848,0.7798018
1583155140,237.8950322,0.7919062
1583155200,234.8437643,0.3013353
1583155260,768.8342391,0.4689304
1583155320,568.5624702,0.8892534
1583155380,685.5148845,0.6068729
1583155440,498.3618125,0.3590309
1583155500,710.8915731,0.542156
1583155560,288.7415371,0.5107625
1583155620,591.8093968,0.2644217
1583155680,645.4057337,0.4817424
1583155740,324.4877485,0.0098909
1583155800,222.8364738,0.3102151
1583155860,665.4975066,0.5650976
1583155920,745.4278521,0.1798213
1583155980,504.3670671,0.0372399
1583156040,465.4455017,0.881688
1583156100,634.1050123,0.9029519
1583156160,446.7170024,0.5925568
1583156220,251.4576828,0.942009
1583156280,260.2496183,0.2555442
1583156340,755.4518266,0.5359074
1583156400,478.2242424,0.8340309
1583156460,623.8318147,0.592226
1583156520,338.2809352,0.9337327
1583156580,322.7702659,0.3228156
1583156640,335.5928718,0.7014785
1583156700,495.2184883,0.860912
1583156760,727.0722512,0.0518729
1583156820,608.9595812,0.7155908
1583156880,491.4174443,0.7305208
1583156940,209.3659525,0.8529359
1583157000,277.1395346,0.6362325
1583157060,334.0542414,0.6716769
